"title","metatags","rating_score","rating_audience","reviews","total_seasons","total_episodes","total_duration (minutes)","episodes_duration_average (minutes)","audio","subtitles","audio.Español (España)","audio.Español (América Latina)","audio.English","audio.English (India)","audio.Français","audio.Português (Brasil)","audio.Italiano","audio.Deutsch","audio.Japonés","audio.Русский","audio.العربية","audio.हिंदी","subtitles.Español (España)","subtitles.Español (América Latina)","subtitles.English","subtitles.Français","subtitles.Português (Portugal)","subtitles.Português (Brasil)","subtitles.Italiano","subtitles.Deutsch","subtitles.Русский","subtitles.العربية","subtitles.हिंदी","genres","editor","link","description"
"Beast Tamer","Sub | Dob","4.7",22000,7,1,13,299,23,"[""Japonés"",""English"",""Español (América Latina)"",""Français"",""Português (Brasil)""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","true","true","-","true","true","-","-","true","-","-","-","-","true","true","true","-","true","-","-","-","-","-","[]","Yomiuri Telecasting Corporation (YTV)","https://www.crunchyroll.com/es-es/series/G8DHV743V/beast-tamer","¡Esta historia de fantasía transmite el vínculo entre un domador de bestias y la chica gato más fuerte desde su primer encuentro! Rein, un domador de bestias que lucha con la ayuda de animales, ha sido miembro del grupo del héroe durante mucho tiempo. Sin embargo, sin que él lo supiera, estaba arrastrando a sus compañeros de equipo porque no tenía otras habilidades. ""No vales nada más que domesticar animales. Estás despedido"". Con eso, fue expulsado del grupo."
"AZUR LANE","Sub | Dob","4.5",938,2,1,0,0,0,"[""Japonés"",""English"",""Español (América Latina)"",""Português (Brasil)""]","[""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""العربية""]","-","true","true","-","-","true","-","-","true","-","-","-","-","true","true","-","-","true","-","-","-","-","-","[""Acción"",""Ciencia Ficción""]","Toho","https://www.crunchyroll.com/es-es/series/G9VHN9P49/azur-lane","Azur Lane, una combinación de todos los diferentes ejércitos del mundo, tuvo una vez éxito en repeler la amenaza submarina, Siren. Ahora, divididas, deben enfrentarse a una nueva amenaza en el Eje Rojo, ¡antiguos aliados que ansían utilizar esta tecnología de Siren para sus propios deseos! ¿Quién saldrá victorioso en la interminable guerra entre estas acorazadas?"
"Million Doll","Subtitulado","2.4",55,0,1,11,48,4,"[""Japonés""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""العربية""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[]","Asahi Production","https://www.crunchyroll.com/es-es/series/GY8VXV1JY/million-doll","Suko tiene una habilidad especial. ¡Puede hacer a cualquier idol popular solo por escribir sobre ellas en su blog! Un día, obligada a ir al supermercado por su hermana, llegó a ver un concierto en vivo del grupo de idols ""Itorio"", procedente de Fukuoka. Suko decide hacer todo lo posible para empujarlas hacia el estrellato. ¡Desafortunadamente, tiene que competir con el carismático otaku blogger Ryu-san quien apoya a la desconocida idol Mariko!"
"Noblesse","Sub | Dob","4.6",6000,10,1,13,299,23,"[""Japonés"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Português (Brasil)""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","true","true","-","true","true","-","true","true","-","-","-","-","true","true","true","-","true","-","true","-","-","-","[""Acción"",""Drama"",""Fantasia"",""Sobrenatural""]","WEBTOON","https://www.crunchyroll.com/es-es/series/G64G2VDPR/noblesse","Raizel despierta tras un letargo de 820 años. Ostenta el título de Noblesse, un Noble de pura sangre y protector del resto de Nobles. En un intento por proteger a Raizel, su sirviente Frankenstein se une a él en el Instituto Ye Ran, donde Raizel se acostumbra poco a poco a la rutina cotidiana del mundo humano junto a sus compañeros. Sin embargo, los humanos modificados de la Unión, una sociedad secreta que planea conquistar el mundo, entran poco a poco en la vida de Raizel y amenazan a sus seres queridos, obligándolo a usar su gran poder para protegerlos."
"Date A Live","Sub | Dob","4.7",8000,12,0,0,0,0,"[""Japonés"",""English"",""Español (América Latina)"",""Français"",""Português (Brasil)""]","[""Español (España)"",""English"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","true","true","-","true","true","-","-","true","-","-","-","-","true","true","true","-","true","-","-","-","-","-","[""Acción"",""Comedia"",""Drama"",""Fantasia"",""Romance"",""Ciencia Ficción""]","Kadokawa Pictures Inc.","https://www.crunchyroll.com/es-es/series/GYEX5E1G6/date-a-live",""
"EVIL OR LIVE","Sub | Dob","3.5",362,3,1,13,299,23,"[""Japonés""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Drama"",""Seinen"",""Thriller""]","EMON","https://www.crunchyroll.com/es-es/series/G6E5098GY/evil-or-live","En la sociedad moderna hay una nueva “enfermedad” que cada vez afecta a más chicos y chicas jóvenes. La soledad, la carencia de confianza y la presión han hecho que cada vez sean más los jóvenes que dependan de Internet y las nuevas tecnologías, lo que los expertos llaman “adicción a la red”. Para contrarrestarlo se crean las Instalaciones de Rehabilitación con las que pretenden devolver a estos jóvenes “al buen camino”. Hibiki es uno de los pacientes de estas instalaciones, pero descubre que allí no quieren que se recupere, sino que es una vulgar prisión de la cual no le permiten escapar."
"Caligula","Subtitulado","3.6",259,0,1,12,276,23,"[""Japonés""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Acción"",""Ciencia Ficción""]","PONY CANYON INC.","https://www.crunchyroll.com/es-es/series/G6DK9M29R/caligula","La vida diaria en la ciudad transcurre sin complicaciones para Ritsu Shikishima, un nuevo estudiante de la Preparatoria Kishimai de la ciudad de Miyabi. Es aficionado a la psicología y seguidor de μ, la cantante virtual de moda que todos conocen. Nada perturbaba su paz, todo encajaba en su vida, hasta que un día una extraña sensación lo invade: algo falla en el mundo, algo no encaja."
"Pretear","Sub | Dob","4.5",138,0,1,0,0,0,"[""Japonés"",""English""]","[""English"",""Deutsch""]","-","-","true","-","-","-","-","-","true","-","-","-","-","-","true","-","-","-","-","-","-","-","-","[]","GONZO","https://www.crunchyroll.com/es-es/series/GRWE8VK0R/pretear",""
"WIXOSS DIVA(A)LIVE","Subtitulado","4.0",97,0,1,12,276,23,"[""Japonés""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Musical""]","Warner Japan","https://www.crunchyroll.com/es-es/series/GP5HJ83E1/wixoss-divaalive","El juego de cartas WIXOSS es ya popular en todo el mundo, y la forma más de moda de jugarlo es con el mundo virtual WIXOSS LAND convirtiéndote en LRIG personalmente y enfrentándote a otros jugadores en batallas de cartas. Las batallas más populares son las DIVA BATTLES, donde equipos de 3 compiten para ver quién puede conseguir más Selectors o fans. Hirana Asu es una chica de primer año de preparatoria/instituto que admira a Chica Eterna desde que era muy pequeña y que ahora se introduce en el mundo de las DIVA BATTLES para alcanzar su sueño."
"Kill la Kill","Sub | Dob","4.7",8000,16,1,25,577,23,"[""Japonés""]","[""English"",""Español (América Latina)"",""Português (Brasil)""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Acción"",""Aventura"",""Comedia"",""Drama"",""Ciencia Ficción"",""Shounen""]","Aniplex of America","https://www.crunchyroll.com/es-es/series/GY8VM43GY/kill-la-kill","¡Después de 6 años desde su colaboración con la serie Tengen Toppa Gurren Lagan, Hiroyuki Imaishi y Kazuki Nakashima han regresado para impactar al mundo! Ryuko Matoi es una chica colegiala vagabunda, que viaja de un lugar a otro en busca de pistas sobre la verdad detrás de la muerte de su padre ""la mujer con la hoja de tijera"". El viaje ha llevado a Ryuko a la Academia Honnouji."
